City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
329,luoyang,34.6836,112.4536,89.38,55,0,4.5,CN,1659324497
330,amapa,1.0,-52.0,71.44,99,95,2.06,BR,1659324497
331,mayumba,-3.432,10.6554,69.12,95,86,6.15,GA,1659324498
332,christchurch,-43.5333,172.6333,55.47,57,1,11.5,NZ,1659324257
333,santa marta,11.2408,-74.199,84.25,74,40,6.91,CO,1659324498
334,puerto escondido,15.85,-97.0667,85.03,70,75,3.44,MX,1659324499
335,de aar,-30.6497,24.0123,37.4,55,0,8.77,ZA,1659324499
336,coihaique,-45.5752,-72.0662,35.55,80,0,5.75,CL,1659324304
337,vestmanna,62.1564,-7.1664,47.62,89,73,12.35,FO,1659324500
338,yenagoa,4.9247,6.2642,73.06,92,100,4.29,NG,1659324500
339,wanning,18.8003,110.3967,89.35,62,9,5.21,CN,1659324501
340,diffa,13.3154,12.6113,80.98,55,98,7.4,NE,1659324501
341,aklavik,68.2191,-135.0107,59.45,58,100,13.91,CA,1659324502
342,santa lucia,27.9117,-15.5407,65.52,78,20,24.16,ES,1659324502
343,namibe,-15.1961,12.1522,56.17,79,8,10.71,AO,1659324502
344,zuwarah,32.9312,12.082,79.68,73,0,6.44,LY,1659324503
345,kabare,-2.4683,28.8242,60.78,91,52,1.39,CD,1659324503
346,cartagena,10.3997,-75.5144,82.02,89,75,2.3,CO,1659324392
347,karaton,-6.3424,106.1045,84.83,56,65,4.94,ID,1659324504
348,sept-iles,50.2001,-66.3821,66.72,98,75,4.61,CA,1659324504
349,fergus falls,46.283,-96.0776,69.06,92,0,11.5,US,1659324448
350,bilma,18.6853,12.9164,86.99,42,82,7.14,NE,1659324505
351,portland,45.5234,-122.6762,92.79,45,20,5.75,US,1659324470
352,aykhal,66.0,111.5,52.74,93,100,14.18,RU,1659324505
353,gazanjyk,39.2446,55.5154,86.38,41,2,5.14,TM,1659324506
354,kiruna,67.8557,20.2251,45.52,93,46,2.3,SE,1659324506
355,urumqi,43.801,87.6005,79.75,39,0,8.95,CN,1659324291
356,birmitrapur,22.4,84.7667,82.49,74,100,3.2,IN,1659324507
357,lagos,6.5833,3.75,74.21,90,100,9.55,NG,1659324400
358,mecca,21.4267,39.8261,85.98,32,100,3.33,SA,1659324507
359,hami,42.8,93.45,91.38,20,57,7.49,CN,1659324508
360,port lincoln,-34.7333,135.8667,60.24,61,0,17.85,AU,1659324508
361,malakal,9.5334,31.6605,70.95,95,94,3.6,SS,1659324509
362,akdepe,42.0551,59.3788,80.69,39,43,7.96,TM,1659324509
363,ostrovnoy,68.0531,39.5131,56.34,76,95,4.38,RU,1659324510
364,natitingou,10.3042,1.3796,70.3,96,75,4.92,BJ,1659324510
365,blackwater,-23.5833,148.8833,72.34,49,95,4.63,AU,1659324510
366,la ronge,55.1001,-105.2842,61.02,59,20,3.44,CA,1659324511
367,cockburn town,21.4612,-71.1419,82.09,85,0,18.59,TC,1659324511
